throughput,avg_latency,pdr,total_time
12895.631053036126,7.75456428527832e-05,0.4,0.0007700920104980469
17757.425910245554,5.631446838378906e-05,1.0,0.0006704330444335938
15236.184743124028,6.56332288469587e-05,0.7,0.0006985664367675781
15033.347670250896,6.651878356933594e-05,1.0,0.0008416175842285156
16650.67090115125,6.0057640075683595e-05,1.0,0.0007054805755615234
12312.046966731898,8.12212626139323e-05,0.3,0.0007860660552978516
20311.3995157385,4.9233436584472656e-05,1.0,0.0005898475646972656
16591.392405063292,6.0272216796875e-05,1.0,0.0006983280181884766
15448.633517495397,6.473064422607422e-05,0.4,0.0007023811340332031
19039.055832955062,5.252361297607422e-05,1.0,0.0006246566772460938
13941.18138651472,7.17299325125558e-05,0.7,0.0007336139678955078
17764.94705633206,5.6290626525878905e-05,1.0,0.0006659030914306641
14508.142511241786,6.892681121826172e-05,1.0,0.0007865428924560547
1,0,0.0,0.0007827281951904297
16885.28180354267,5.9223175048828126e-05,1.0,0.0006885528564453125
15346.886205634833,6.515979766845703e-05,1.0,0.0007491111755371094
18591.77304964539,5.37872314453125e-05,1.0,0.0006396770477294922
15425.906583302685,6.482601165771484e-05,1.0,0.0007524490356445312
15169.273056057866,6.592273712158203e-05,1.0,0.0007579326629638672
15911.623672230653,6.284713745117188e-05,1.0,0.00072479248046875
17056.94997966653,5.862712860107422e-05,1.0,0.0006890296936035156
15022.578796561605,6.656646728515625e-05,1.0,0.0007660388946533203
17439.933471933473,5.733966827392578e-05,1.0,0.0006897449493408203
14523.213296398892,6.885528564453125e-05,0.5,0.0007426738739013672
17105.64437194127,5.846023559570312e-05,1.0,0.0006840229034423828
12995.519752130132,7.69495964050293e-05,0.4,0.0007660388946533203
15341.27286027798,6.518363952636718e-05,1.0,0.0007686614990234375
14910.430145751867,6.706714630126953e-05,1.0,0.0007708072662353516
11904.363292336802,8.400281270345052e-05,0.3,0.0007719993591308594
19490.260223048328,5.130767822265625e-05,1.0,0.0006122589111328125
15638.717375093214,6.394386291503906e-05,1.0,0.0007374286651611328
15857.482041587902,6.306171417236328e-05,1.0,0.0007364749908447266
13516.932001289075,7.398128509521485e-05,1.0,0.0008997917175292969
19925.434679334918,5.0187110900878906e-05,1.0,0.0006012916564941406
17795.09546033093,5.619525909423828e-05,1.0,0.00066375732421875
18436.5010989011,5.424022674560547e-05,1.0,0.0006418228149414062
16703.719633612105,5.986690521240234e-05,1.0,0.0006999969482421875
13999.679572763685,7.143020629882813e-05,0.5,0.0007534027099609375
21542.393425783255,4.6420097351074216e-05,1.0,0.0005648136138916016
13185.488839987425,7.584095001220704e-05,1.0,0.0008609294891357422
15990.484178421655,6.253719329833985e-05,1.0,0.000732421875
17036.1657189277,5.8698654174804685e-05,1.0,0.0006852149963378906
15900.899747262005,6.288952297634548e-05,0.9,0.0006964206695556641
24216.535796766744,4.129409790039062e-05,1.0,0.0005133152008056641
21653.60867320599,4.6181678771972654e-05,1.0,0.00057220458984375
16757.107471034757,5.9676170349121096e-05,1.0,0.0006937980651855469
16150.573738929534,6.191730499267578e-05,1.0,0.0007181167602539062
16238.110723964382,6.15835189819336e-05,1.0,0.0007150173187255859
17476.266666666666,5.7220458984375e-05,1.0,0.0006768703460693359
17802.64855687606,5.6171417236328124e-05,1.0,0.0006611347198486328
13981.013333333334,7.152557373046875e-05,1.0,0.00086212158203125
16364.822473663675,6.110668182373047e-05,1.0,0.00070953369140625
18517.898454746137,5.4001808166503906e-05,1.0,0.0006399154663085938
22622.99892125135,4.420280456542969e-05,1.0,0.00054168701171875
8648.049484536083,0.00011563301086425781,0.1,0.0007624626159667969
15027.961304192046,6.65426254272461e-05,1.0,0.000762939453125
16697.070063694267,5.98907470703125e-05,1.0,0.0007016658782958984
17303.23432343234,5.779266357421875e-05,1.0,0.000682830810546875
8683.859213250518,0.00011515617370605469,0.1,0.0007464885711669922
13851.730515191546,7.219314575195313e-05,0.5,0.0007433891296386719
