throughput,avg_latency,pdr,total_time
111635.46768060836,8.957726614815848e-06,0.7,0.00042634963989257813
112147.16577540107,8.916854858398437e-06,0.5,0.0003383972644805908
174037.51037344398,5.745887756347657e-06,1.0,0.0003388364315032959
162710.06896551725,6.145901150173611e-06,0.9,0.00042259645462036134
189787.5113122172,5.269050598144532e-06,1.0,0.0002565135955810547
115228.13186813187,8.678436279296875e-06,1.0,0.0005491499900817871
148734.18439716313,6.723403930664062e-06,1.0,0.0003429503440856934
174762.66666666666,5.7220458984375e-06,0.8,0.00017005372047424315
209715.2,4.76837158203125e-06,1.0,0.0001686537265777588
216201.23711340205,4.625320434570312e-06,1.0,8.647871017456055e-05
114912.43835616438,8.702278137207031e-06,1.0,0.0004198760986328125
104077.02233250621,9.608268737792968e-06,1.0,0.0003399496078491211
157532.54460093897,6.3478946685791016e-06,0.8,0.00033910536766052244
77672.29629629629,1.2874603271484375e-05,0.4,0.00038225340843200684
59493.67375886525,1.6808509826660156e-05,0.2,0.00025204920768737794
102300.09756097561,9.775161743164062e-06,0.4,0.00021064352989196778
138654.67768595042,7.212162017822266e-06,0.8,0.0002534632682800293
216201.23711340205,4.625320434570312e-06,1.0,0.00016823768615722656
97541.95348837209,1.0251998901367188e-05,0.5,0.00033957767486572264
138654.67768595042,7.212162017822266e-06,0.8,0.00021187734603881836
78988.7758945386,1.2660026550292969e-05,1.0,0.000339144229888916
40986.684039087944,2.4398167928059895e-05,0.6,0.00033740234375
137518.16393442624,7.271766662597656e-06,1.0,0.00034078264236450195
124091.83431952662,8.058547973632812e-06,1.0,0.0005498030185699463
130055.93798449612,7.68899917602539e-06,0.8,0.00029566764831542966
157850.1505376344,6.335122244698661e-06,0.7,0.0002544875144958496
131988.58741258743,7.576412624782986e-06,0.9,0.0003833777904510498
161319.38461538462,6.198883056640625e-06,1.0,0.00016983962059020997
176974.8523206751,5.650520324707031e-06,1.0,0.0002574946880340576
87685.79790940767,1.140435536702474e-05,0.6,0.0004209356307983398
52167.96019900498,1.9168853759765626e-05,0.5,0.00042674994468688967
114912.43835616438,8.702278137207031e-06,0.6,0.0003398346900939941
64035.17557251908,1.5616416931152344e-05,0.6,0.0004210984706878662
80145.93630573248,1.2477238972981771e-05,0.6,0.0005096447467803955
129276.49315068492,7.735358344184027e-06,0.9,0.0004267473220825195
145748.01544401544,6.861156887478299e-06,0.9,0.0003407425880432129
84733.41414141415,1.1801719665527344e-05,0.8,0.00042368364334106445
201649.23076923078,4.9591064453125e-06,1.0,0.00017003512382507324
170500.162601626,5.865097045898438e-06,1.0,0.0003427643775939941
147686.7605633803,6.771087646484375e-06,1.0,0.0004269065856933594
96791.63076923077,1.0331471761067709e-05,0.6,0.0005075523853302002
165130.07874015748,6.055831909179687e-06,1.0,0.00025379538536071775
83886.08,1.1920928955078125e-05,0.9,0.00042811870574951174
144631.1724137931,6.9141387939453125e-06,0.4,0.00016961312294006347
108942.96103896105,9.179115295410156e-06,0.4,0.00012711977958679199
150468.30493273542,6.645917892456055e-06,0.8,0.0002574677467346191
134432.8205128205,7.43865966796875e-06,0.5,0.00016840386390686035
41527.762376237624,2.4080276489257812e-05,0.2,0.0004236130714416504
179243.7606837607,5.578994750976562e-06,1.0,0.0001689784526824951
14768.676056338029,6.771087646484375e-05,0.1,0.0002563788890838623
145131.62629757787,6.890296936035156e-06,1.0,0.0004276728630065918
125470.63247863248,7.96999250139509e-06,0.7,0.00046884846687316893
57456.21917808219,1.7404556274414062e-05,0.2,0.0002964942455291748
61230.71532846715,1.633167266845703e-05,0.6,0.000424130916595459
173318.34710743802,5.769729614257812e-06,1.0,0.00025510668754577634
171897.70491803277,5.817413330078125e-06,1.0,0.00016864895820617676
168615.23618090453,5.930662155151367e-06,0.8,0.0002539558410644531
108942.96103896105,9.179115295410156e-06,0.6,0.00033988976478576663
75846.36528028933,1.3184547424316406e-05,1.0,0.0004289484024047852
150994.944,6.622738308376736e-06,0.9,0.0005077037811279297
